titre;annee;cote;coteNew;auteur;cnpl;compositeur;editeur;livret;fiche;internet;scan;snpls
REGARDE SEIGNEUR, J'OUBLIE DE MANGER MON PAIN;1983;SYLK91;Z101-2a;BOURGEOIS - REVEL;;GOUZES;SYLVANES;CAREME;6908;;*;
REGARDE TA VIGNE - PSAUME 79;2007;ZL79-17;;AELF;;DUMENIL;ADF;PSAUMES DIMANCHES ET FETES - ANNÉE A;13492;*;;
REGARDE TA VIGNE, SEIGNEUR;2017;UZ72-97;;D'APRES AELF;;COMMUNAUTÉ DE L'EMMANUEL;EDITIONS DE L'EMMANUEL;;18525;*;;
REGARDE TA VIGNE, SEIGNEUR - PSAUME 79;2011;ZL79-22;;AELF;;BIGENWALD;CÆCILIA;;15074;*;;
REGARDE TOUT CE QUI EST BEAU;2007;EDIT15-13;;RICHARD;;RICHARD;ADF;HEUREUX DE CLEBRER;13628;*;;
REGARDE-MOI, SEIGNEUR;1982;G271;DEV287;VERCRUYSSE;;VERCRUYSSE;AUVIDIS;;3005;;*;
REGARDE-NOUS;1988;G539;R550;SINGER;;KEMPF;STUDIO SM;;3006;;*;
REGARDE-NOUS;1900;V245;;FRIE;;LECOT - LIVRE VERMEIL DE MONTSERRAT (14°s);LETHIELLEUX (DDB);MARIE;3008;;*;
REGARDE, L'AURORE EST DEJA LA;1900;E257;EDIT12-06;GSCHWIND;;BAYLE - GSCHWIND;STUDIO SM;;7817;*;;
REGARDE, L'AURORE EST DEJA LA;2008;EDIT16-34;;GSCHWIND;;TOSSOU;ADF;;14033;*;;
REGARDE, L'AURORE EST DEJA LA;2019;EDIT16-94-3;;GSCHWIND;;TOSSOU;CÆCILIA;;18918;*;;
REGARDE, SEIGNEUR NOS FRERES;2009;K58-07;;AELF;;LEBON;KINNOR;;14276;*;;
REGARDE, SEIGNEUR, TES ENFANTS;2001;V40-88;;COSTE;;DANIEL;JUBILUS-VOIX NOUVELLES EDITIONS;;10709;;*;2003
REGARDEZ;2020;X77-36;;AELF - CFC;;OUDOT;CÆCILIA;;19298;*;;
REGARDEZ !;2003;EDIT45-41;;BARBEY;;DUMENIL;ADF;A CIEL OUVERT;11727;*;;
REGARDEZ LES LYS DES CHAMPS;1984;U102;X849;MANNICK - SCOUARNEC;;AKEPSIMAS;STUDIO SM;;3009;;*;
REGARDEZ LES OISEAUX DU CIEL;1983;U115;X862;LEBEL;;LEBEL;STUDIO SM;;3010;;*;
REGARDEZ PAR DELA VOS FRONTIERES;1900;T153;R153;BERNARD;;BAYLE;STUDIO SM;;4509;;*;
REINE DE LA PAIX;1996;V20-85;;FRIE;*;LECOT;LETHIELLEUX (DDB);EGLISE;8001;;*;
REINE DE LA PAIX;2006;V51-94;;FAURE;;WACKENHEIM;BAYARD-LITURGIE;;12973;*;;
REINE DE PAIX;1995;V18-47;EDIT12-07;MUTIN;;AKEPSIMAS;STUDIO SM;;7834;*;;
REINE DU CIEL;1968;V112;VL112;AELF;;BERTHIER;SODEC;;5046;;*;
REINE DU CIEL;1977;V80;;DEISS;;DEISS;STUDIO SM;PAROLES DE DIEU;6585;;*;
REINE DU CIEL;1964;V80-b;;DEISS;;DEISS;STUDIO SM;PAROLES DE DIEU;6586;;*;
REINE DU CIEL;2010;V59-26;;ADAPTATION DU REGINA CŒLI;;SUIJKERBUIJK;EDITIONS DE L'EMMANUEL;;14661;*;;
REINE DU CIEL ET REINE DU MONDE;1980;V213;;DUROY;;DAZIN;LE TRIFORIUM;;4690;;*;
REINE DU CIEL, REJOUIS-TOI;1969;V95;;JULIEN;;JULIEN;FLEURUS;;3012;;*;
REINE DU CIEL, REJOUIS-TOI;2003;V47-26;;DOMAINE PUBLIC;;ROTH;CÆCILIA;;12003;*;;
REINE DU CIEL, REJOUIS-TOI  ! ALLELUIA !;1989;SYLS74;VI74;BOURGEOIS - REVEL;;GOUZES;SYLVANES;BVM;6876;;*;
REINE, A TOI, SALUT ! ;1984;V328;;FRIE;;GREGORIEN;LETHIELLEUX (DDB);MARIE;3013;;*;
REINE, AU CIEL DES CIEUX;1984;V324;VI324;FRIE;;GREGORIEN;LETHIELLEUX (DDB);MARIE;3014;;*;
REJOUIS TOI, EGLISE DU SEIGNEUR;1983;SYLA610;X610-1;BOURGEOIS - REVEL;;GOUZES;SYLVANES;CEL.PASCALE DES DIMANCHES;7346;;*;
REJOUIS-TOI;1900;VLH120;VP120;CLAIRVAL;;TOULMONDE;SODEC;;3015;;*;
REJOUIS-TOI;1960;V71;VY71;DEISS;;DEISS;STUDIO SM;;6577;;*;
REJOUIS-TOI CAR IL VIENT;2003;DEV44-73;;COMMUNAUTÉ DE L'EMMANUEL;;COMMUNAUTÉ DE L'EMMANUEL;EDITIONS DE L'EMMANUEL;;11647;;*;
REJOUIS-TOI JERUSALEM : VOICI TON ROI QUI VIENT VERS TOI;1983;SYLG213;Z64-3;BOURGEOIS - REVEL;;GOUZES;SYLVANES;AVENT;7363;;*;
REJOUIS-TOI JERUSALEM : VOICI TON ROI QUI VIENT VERS TOI;1983;SYLG413;Z97-5;BOURGEOIS - REVEL;;GOUZES;SYLVANES;AVENT;7375;;*;
REJOUIS-TOI JERUSALEM : VOICI TON ROI QUI VIENT VERS TOI;1983;SYLG113;Z24-3b;BOURGEOIS - REVEL;;GOUZES;SYLVANES;AVENT;7475;;*;
REJOUIS-TOI JERUSALEM : VOICI TON ROI QUI VIENT VERS TOI;1983;SYLG313;Z84-3;BOURGEOIS - REVEL;;GOUZES;SYLVANES;AVENT;7523;;*;
REJOUIS-TOI JERUSALEM, TOI QUI N'ENFANTAIS PAS;1989;SYLJ601;FX601;BOURGEOIS - REVEL;;GOUZES;SYLVANES;EPIPH;7502;;*;
REJOUIS-TOI MARIE, EN TOI S'ACCOMPLIT LA PROMESSE;1983;SYLG374;EU374;BOURGEOIS - REVEL;;GOUZES;SYLVANES;AVENT;7131;;*;
REJOUIS-TOI MARIE, EVE NOUVELLE;1983;SYLG172;EU172;BOURGEOIS - REVEL;;GOUZES;SYLVANES;AVENT;6991;;*;
REJOUIS-TOI MARIE, FILLE DE SION;1983;SYLG173;EU173;BOURGEOIS - REVEL;;GOUZES;SYLVANES;AVENT;6936;;*;
